"","region","gene_symbol","expression","in_16p_region"
"233","ctx-lh-inferiorparietal","HIRIP3",0.503013461218584,"Yes"
"234","ctx-lh-inferiorparietal","TAOK2",0.485647089265249,"Yes"
"235","ctx-lh-inferiorparietal","MVP",0.450409758511488,"Yes"
"236","ctx-lh-inferiorparietal","CDIPT",0.449569280206461,"Yes"
"237","ctx-lh-inferiorparietal","RFPL3",0.547985890873006,"No"
"238","ctx-lh-inferiorparietal","CORO1A",0.419000911552465,"Yes"
"239","ctx-lh-inferiorparietal","QPRT",0.548809399889919,"Yes"
"240","ctx-lh-inferiorparietal","SEZ6L2",0.496225688910471,"No"
"241","ctx-lh-inferiorparietal","PAGR1",0.516013862825413,"No"
"242","ctx-lh-inferiorparietal","PLVAP",0.433101874550253,"No"
"243","ctx-lh-inferiorparietal","YPEL3",0.562054076465174,"Yes"
"244","ctx-lh-inferiorparietal","FAM57B",0.535334608999289,"Yes"
"245","ctx-lh-inferiorparietal","DDX60L",0.524737676661206,"No"
"246","ctx-lh-inferiorparietal","PRRT2",0.606440553580076,"Yes"
"247","ctx-lh-inferiorparietal","TMEM219",0.468168243487282,"Yes"
"248","ctx-lh-inferiorparietal","TEKT4",0.518932510507738,"No"
"249","ctx-lh-inferiorparietal","FAM122B",0.535579456058519,"No"
"250","ctx-lh-inferiorparietal","CALML6",0.513595052517896,"No"
"251","ctx-lh-inferiorparietal","KCTD13",0.516394376671644,"Yes"
"252","ctx-lh-inferiorparietal","TAS2R31",0.553369524241921,"No"
"253","ctx-lh-inferiorparietal","INO80E",0.523098293412746,"Yes"
"254","ctx-lh-inferiorparietal","KIF4B",0.580372558553754,"No"
"255","ctx-lh-inferiorparietal","HOXB-AS3",0.469732058492575,"No"
"256","ctx-lh-inferiorparietal","LOC100133091",0.533503628344689,"No"
"257","ctx-lh-inferiorparietal","PEG3-AS1",0.545604109269192,"No"
"258","ctx-lh-inferiorparietal","LOC100505915",0.537092345797317,"No"
"259","ctx-lh-inferiorparietal","MIR497HG",0.561238190105109,"No"
"260","ctx-lh-inferiortemporal","ALDOA",0.545304712165557,"Yes"
"261","ctx-lh-inferiortemporal","EDN3",0.426894806448481,"No"
"262","ctx-lh-inferiortemporal","GABRE",0.675025086749835,"No"
"263","ctx-lh-inferiortemporal","GRM7",0.578667170882352,"No"
"264","ctx-lh-inferiortemporal","KIF22",0.471153269698277,"Yes"
"265","ctx-lh-inferiortemporal","MAZ",0.501654590123358,"Yes"
"266","ctx-lh-inferiortemporal","OAS3",0.465889482302045,"No"
"267","ctx-lh-inferiortemporal","PPP4C",0.518515408157308,"Yes"
"268","ctx-lh-inferiortemporal","MAPK3",0.594571060946136,"Yes"
"269","ctx-lh-inferiortemporal","DOC2A",0.669127622657986,"Yes"
"270","ctx-lh-inferiortemporal","HIRIP3",0.438973644664763,"Yes"
"271","ctx-lh-inferiortemporal","TAOK2",0.53011605900227,"Yes"
"272","ctx-lh-inferiortemporal","MVP",0.494290846000668,"Yes"
"273","ctx-lh-inferiortemporal","CDIPT",0.56378951137686,"Yes"
"274","ctx-lh-inferiortemporal","RFPL3",0.514887993047677,"No"
"275","ctx-lh-inferiortemporal","CORO1A",0.629577559749082,"Yes"
"276","ctx-lh-inferiortemporal","QPRT",0.535709076839621,"Yes"
"277","ctx-lh-inferiortemporal","SEZ6L2",0.528408649944425,"No"
"278","ctx-lh-inferiortemporal","PAGR1",0.477736905737775,"No"
"279","ctx-lh-inferiortemporal","PLVAP",0.471514455337371,"No"
"280","ctx-lh-inferiortemporal","YPEL3",0.472380939261582,"Yes"
"281","ctx-lh-inferiortemporal","FAM57B",0.396134031700334,"Yes"
"282","ctx-lh-inferiortemporal","DDX60L",0.461323441705643,"No"
"283","ctx-lh-inferiortemporal","PRRT2",0.597039236593963,"Yes"
"284","ctx-lh-inferiortemporal","TMEM219",0.518828701499226,"Yes"
"285","ctx-lh-inferiortemporal","TEKT4",0.546540345758716,"No"
"286","ctx-lh-inferiortemporal","FAM122B",0.528856811139251,"No"
"287","ctx-lh-inferiortemporal","CALML6",0.476383372354477,"No"
"288","ctx-lh-inferiortemporal","KCTD13",0.51259081225711,"Yes"
"289","ctx-lh-inferiortemporal","TAS2R31",0.422411594260576,"No"
"290","ctx-lh-inferiortemporal","INO80E",0.474289332172255,"Yes"
"291","ctx-lh-inferiortemporal","KIF4B",0.45320558585933,"No"
"292","ctx-lh-inferiortemporal","HOXB-AS3",0.505942052869048,"No"
"293","ctx-lh-inferiortemporal","LOC100133091",0.455551488201799,"No"
"294","ctx-lh-inferiortemporal","PEG3-AS1",0.537089136614939,"No"
"295","ctx-lh-inferiortemporal","LOC100505915",0.405411462925797,"No"
"296","ctx-lh-inferiortemporal","MIR497HG",0.555797569172775,"No"
"297","ctx-lh-isthmuscingulate","ALDOA",0.468919300422529,"Yes"
"298","ctx-lh-isthmuscingulate","EDN3",0.479730111899497,"No"
"299","ctx-lh-isthmuscingulate","GABRE",0.462396786983593,"No"
"300","ctx-lh-isthmuscingulate","GRM7",0.422341975186327,"No"
"301","ctx-lh-isthmuscingulate","KIF22",0.394749156590623,"Yes"
"302","ctx-lh-isthmuscingulate","MAZ",0.51100911462063,"Yes"
"303","ctx-lh-isthmuscingulate","OAS3",0.503811360207445,"No"
"304","ctx-lh-isthmuscingulate","PPP4C",0.533840102255477,"Yes"
"305","ctx-lh-isthmuscingulate","MAPK3",0.502808978717305,"Yes"
"306","ctx-lh-isthmuscingulate","DOC2A",0.43145855409145,"Yes"
"307","ctx-lh-isthmuscingulate","HIRIP3",0.486318438850947,"Yes"
"308","ctx-lh-isthmuscingulate","TAOK2",0.625940085155226,"Yes"
"309","ctx-lh-isthmuscingulate","MVP",0.445513754226149,"Yes"
"310","ctx-lh-isthmuscingulate","CDIPT",0.370693743609701,"Yes"
"311","ctx-lh-isthmuscingulate","RFPL3",0.392820114973834,"No"
"312","ctx-lh-isthmuscingulate","CORO1A",0.483142226895214,"Yes"
"313","ctx-lh-isthmuscingulate","QPRT",0.644253019751366,"Yes"
"314","ctx-lh-isthmuscingulate","SEZ6L2",0.470243452737817,"No"
"315","ctx-lh-isthmuscingulate","PAGR1",0.506154669668312,"No"
"316","ctx-lh-isthmuscingulate","PLVAP",0.517498215652402,"No"
"317","ctx-lh-isthmuscingulate","YPEL3",0.381251862397252,"Yes"
"318","ctx-lh-isthmuscingulate","FAM57B",0.591869735449114,"Yes"
"319","ctx-lh-isthmuscingulate","DDX60L",0.551864685614649,"No"
"320","ctx-lh-isthmuscingulate","PRRT2",0.398470555139967,"Yes"
"321","ctx-lh-isthmuscingulate","TMEM219",0.464643598434718,"Yes"
"322","ctx-lh-isthmuscingulate","TEKT4",0.42648631214215,"No"
"323","ctx-lh-isthmuscingulate","FAM122B",0.503259943314314,"No"
"324","ctx-lh-isthmuscingulate","CALML6",0.465855625982046,"No"
"325","ctx-lh-isthmuscingulate","KCTD13",0.499762546069307,"Yes"
"326","ctx-lh-isthmuscingulate","TAS2R31",0.461085268971765,"No"
"327","ctx-lh-isthmuscingulate","INO80E",0.521523647401874,"Yes"
"328","ctx-lh-isthmuscingulate","KIF4B",0.465960004608336,"No"
"329","ctx-lh-isthmuscingulate","HOXB-AS3",0.540860916471592,"No"
"330","ctx-lh-isthmuscingulate","LOC100133091",0.5398269459031,"No"
"331","ctx-lh-isthmuscingulate","PEG3-AS1",0.513699645461558,"No"
"332","ctx-lh-isthmuscingulate","LOC100505915",0.557071430206561,"No"
"333","ctx-lh-isthmuscingulate","MIR497HG",0.50138259940675,"No"
"334","ctx-lh-lateraloccipital","ALDOA",0.434032536257858,"Yes"
"335","ctx-lh-lateraloccipital","EDN3",0.485667735249835,"No"
"336","ctx-lh-lateraloccipital","GABRE",0.414618382016322,"No"
"337","ctx-lh-lateraloccipital","GRM7",0.485391462458466,"No"
"338","ctx-lh-lateraloccipital","KIF22",0.455226793134637,"Yes"
"339","ctx-lh-lateraloccipital","MAZ",0.544737934333293,"Yes"
"340","ctx-lh-lateraloccipital","OAS3",0.55683792151465,"No"
"341","ctx-lh-lateraloccipital","PPP4C",0.49088221317219,"Yes"
"342","ctx-lh-lateraloccipital","MAPK3",0.243122047874636,"Yes"
"343","ctx-lh-lateraloccipital","DOC2A",0.255016777525666,"Yes"
"344","ctx-lh-lateraloccipital","HIRIP3",0.548195737318816,"Yes"
"345","ctx-lh-lateraloccipital","TAOK2",0.452061263874877,"Yes"
"346","ctx-lh-lateraloccipital","MVP",0.506046577936881,"Yes"
"347","ctx-lh-lateraloccipital","CDIPT",0.400159032633083,"Yes"
"348","ctx-lh-lateraloccipital","RFPL3",0.610666246965147,"No"
"349","ctx-lh-lateraloccipital","CORO1A",0.326153765161924,"Yes"
"350","ctx-lh-lateraloccipital","QPRT",0.319370889508742,"Yes"
"351","ctx-lh-lateraloccipital","SEZ6L2",0.643290502952825,"No"
"352","ctx-lh-lateraloccipital","PAGR1",0.660569526092084,"No"
"353","ctx-lh-lateraloccipital","PLVAP",0.49391074375797,"No"
"354","ctx-lh-lateraloccipital","YPEL3",0.668002954215852,"Yes"
"355","ctx-lh-lateraloccipital","FAM57B",0.683226619967959,"Yes"
"356","ctx-lh-lateraloccipital","DDX60L",0.506747107195156,"No"
"357","ctx-lh-lateraloccipital","PRRT2",0.662207008765084,"Yes"
"358","ctx-lh-lateraloccipital","TMEM219",0.391860568850475,"Yes"
"359","ctx-lh-lateraloccipital","TEKT4",0.451609979363585,"No"
"360","ctx-lh-lateraloccipital","FAM122B",0.529354372816396,"No"
"361","ctx-lh-lateraloccipital","CALML6",0.656931410071815,"No"
"362","ctx-lh-lateraloccipital","KCTD13",0.502630433466017,"Yes"
"363","ctx-lh-lateraloccipital","TAS2R31",0.703918485456672,"No"
"364","ctx-lh-lateraloccipital","INO80E",0.614234914692748,"Yes"
"365","ctx-lh-lateraloccipital","KIF4B",0.63723594596203,"No"
"366","ctx-lh-lateraloccipital","HOXB-AS3",0.507361330526347,"No"
"367","ctx-lh-lateraloccipital","LOC100133091",0.628579016043543,"No"
"368","ctx-lh-lateraloccipital","PEG3-AS1",0.625528753184772,"No"
"369","ctx-lh-lateraloccipital","LOC100505915",0.572992687362742,"No"
"370","ctx-lh-lateraloccipital","MIR497HG",0.543147242563383,"No"
"371","ctx-lh-lateralorbitofrontal","ALDOA",0.595498590293478,"Yes"
"372","ctx-lh-lateralorbitofrontal","EDN3",0.466420528365673,"No"
"373","ctx-lh-lateralorbitofrontal","GABRE",0.522161061892088,"No"
"374","ctx-lh-lateralorbitofrontal","GRM7",0.643269279491239,"No"
"375","ctx-lh-lateralorbitofrontal","KIF22",0.655261528177636,"Yes"
"376","ctx-lh-lateralorbitofrontal","MAZ",0.529808660628704,"Yes"
"377","ctx-lh-lateralorbitofrontal","OAS3",0.506268566488962,"No"
