"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"597","TPRG1L","",0.294725266652111,0.029838022,"hLCL","Talkowski et al. 2014","","No"
"598","APAF1","",-0.449903748315525,0.029844291,"hLCL","Talkowski et al. 2014","","No"
"599","RPS10","",0.293110271777803,0.029889727,"hLCL","Talkowski et al. 2014","","No"
"600","CDAN1","",-0.165674350360003,0.029901751,"hLCL","Talkowski et al. 2014","","No"
"601","POMT2","",-0.328347293087257,0.030042918,"hLCL","Talkowski et al. 2014","","No"
"602","C5orf24","",-0.217464270464427,0.030042918,"hLCL","Talkowski et al. 2014","","No"
"603","PDRG1","",0.218032418413324,0.030090271,"hLCL","Talkowski et al. 2014","","No"
"604","OCEL1","",0.295079800003117,0.030236953,"hLCL","Talkowski et al. 2014","","No"
"605","RHOV","",0.756522309611862,0.030237269,"hLCL","Talkowski et al. 2014","","No"
"606","CCDC99","",-0.433017940332535,0.030259366,"hLCL","Talkowski et al. 2014","","No"
"607","H2AFX","",-0.549322100728484,0.03030303,"hLCL","Talkowski et al. 2014","","No"
"608","FAM208B","",-0.143333348165158,0.030346821,"hLCL","Talkowski et al. 2014","","No"
"609","SPC24","",-0.370661154499114,0.030425963,"hLCL","Talkowski et al. 2014","","No"
"610","CHD1L","",-0.258518086879023,0.030612245,"hLCL","Talkowski et al. 2014","","No"
"611","HSD17B4","",-0.390412878592335,0.030643514,"hLCL","Talkowski et al. 2014","","No"
"612","FAM103A1","",0.180737737881481,0.030782762,"hLCL","Talkowski et al. 2014","","No"
"613","CRLF3","",-0.270624060741221,0.030791789,"hLCL","Talkowski et al. 2014","","No"
"614","CDC6","",-0.532904839388249,0.030791789,"hLCL","Talkowski et al. 2014","","No"
"615","NAA40","",-0.364995739567353,0.030794406,"hLCL","Talkowski et al. 2014","","No"
"616","DNAJC13","",-0.309645151564012,0.030850595,"hLCL","Talkowski et al. 2014","","No"
"617","NECAP2","",0.409901381451301,0.030864198,"hLCL","Talkowski et al. 2014","","No"
"618","SMA4","",-0.537760018422079,0.031000886,"hLCL","Talkowski et al. 2014","","No"
"619","SPDYE2","",-0.61105634680052,0.031065089,"hLCL","Talkowski et al. 2014","","No"
"620","TNPO1","",-0.428030745466761,0.03115727,"hLCL","Talkowski et al. 2014","","No"
"621","ITGB3","",-1.22098449045907,0.031166518,"hLCL","Talkowski et al. 2014","","No"
"622","RPS10-NUDT3","",0.295272659453327,0.031194296,"hLCL","Talkowski et al. 2014","","No"
"623","NCAPD2","",-0.387230679930338,0.031245328,"hLCL","Talkowski et al. 2014","","No"
"624","IQGAP3","",-0.492361862715932,0.031277927,"hLCL","Talkowski et al. 2014","","No"
"625","CAPZA1","",-0.258309943486451,0.031296572,"hLCL","Talkowski et al. 2014","","No"
"626","XPO1","",-0.350623955753241,0.031301237,"hLCL","Talkowski et al. 2014","","No"
"627","GTF2I","",-0.191329809540979,0.031437126,"hLCL","Talkowski et al. 2014","","No"
"628","SCML2","",-0.816355621893672,0.031484258,"hLCL","Talkowski et al. 2014","","No"
"629","TRIM28","",-0.177025911011676,0.031531532,"hLCL","Talkowski et al. 2014","","No"
"630","HNRNPUL2-BSCL2","",-0.197836659048047,0.031583697,"hLCL","Talkowski et al. 2014","","No"
"631","CLSPN","",-0.477498635402212,0.031626506,"hLCL","Talkowski et al. 2014","","No"
"632","FANCI","",-0.388512843601063,0.031674208,"hLCL","Talkowski et al. 2014","","No"
"633","EP400","",-0.297687257158166,0.031770045,"hLCL","Talkowski et al. 2014","","No"
"634","RPL18A","",0.266466964164125,0.031770045,"hLCL","Talkowski et al. 2014","","No"
"635","PPP1R3E","",-0.687323772791512,0.031827827,"hLCL","Talkowski et al. 2014","","No"
"636","MCM4","",-0.512444086026543,0.031860859,"hLCL","Talkowski et al. 2014","","No"
"637","WDR36","",-0.301778578591787,0.031861629,"hLCL","Talkowski et al. 2014","","No"
"638","ANKHD1","",-0.152089603239376,0.03196347,"hLCL","Talkowski et al. 2014","","No"
"639","BDP1","",-0.323774706765752,0.032007316,"hLCL","Talkowski et al. 2014","","No"
"640","EARS2","",-0.351325222614166,0.032012195,"hLCL","Talkowski et al. 2014","","No"
"641","FAM82B","",-0.178639786463287,0.032041501,"hLCL","Talkowski et al. 2014","","No"
"642","RAP1GDS1","",-0.342636797472764,0.032159265,"hLCL","Talkowski et al. 2014","","No"
"643","BORA","",-0.309503665920062,0.032178976,"hLCL","Talkowski et al. 2014","","No"
"644","ENG","",1.01865877665073,0.032188841,"hLCL","Talkowski et al. 2014","","No"
"645","MGC12982","",-0.67743480394481,0.032248157,"hLCL","Talkowski et al. 2014","","No"
"646","FGFR1OP","",-0.325752908421934,0.032307692,"hLCL","Talkowski et al. 2014","","No"
"647","INTS3","",-0.292999468228618,0.032317636,"hLCL","Talkowski et al. 2014","","No"
"648","PRPF4B","",-0.258333081893324,0.032353399,"hLCL","Talkowski et al. 2014","","No"
"649","TTC3P1","",-0.536059632880867,0.03245248,"hLCL","Talkowski et al. 2014","","No"
"650","PIP4K2B","",-0.234032582994561,0.032700093,"hLCL","Talkowski et al. 2014","","No"
"651","GUSBP3","",-0.519011153396759,0.032700093,"hLCL","Talkowski et al. 2014","","No"
"652","RP2","",-0.453741105320607,0.0328125,"hLCL","Talkowski et al. 2014","","No"
"653","KAT2B","",-0.322421223793142,0.03286385,"hLCL","Talkowski et al. 2014","","No"
"654","SMN2","",-0.437063242380809,0.033050047,"hLCL","Talkowski et al. 2014","","No"
"655","HLA-B","",0.275918353305981,0.033050047,"hLCL","Talkowski et al. 2014","","No"
"656","SLFN13","",-0.841010965149458,0.033164877,"hLCL","Talkowski et al. 2014","","No"
"657","NPHP3-ACAD11","",-0.432717771837566,0.033180597,"hLCL","Talkowski et al. 2014","","No"
"658","ACAD11","",-0.377238703496864,0.033212083,"hLCL","Talkowski et al. 2014","","No"
"659","UGDH","",-0.524867070916855,0.033333333,"hLCL","Talkowski et al. 2014","","No"
"660","DTWD2","",-0.425725723837951,0.033428844,"hLCL","Talkowski et al. 2014","","No"
"661","ZNF581","",0.357138156119046,0.033434167,"hLCL","Talkowski et al. 2014","","No"
"662","GDPD3","",-0.906684229236443,0.033621518,"hLCL","Talkowski et al. 2014","","Yes"
"663","TMEM116","",-0.492326730374338,0.033653846,"hLCL","Talkowski et al. 2014","","No"
"664","QSER1","",-0.269741495475037,0.033707865,"hLCL","Talkowski et al. 2014","","No"
"665","MRPS31","",-0.23969530767677,0.033707865,"hLCL","Talkowski et al. 2014","","No"
"666","TBC1D22A","",0.165842947689615,0.033707865,"hLCL","Talkowski et al. 2014","","No"
"667","SCARF1","",1.53432107937248,0.033762058,"hLCL","Talkowski et al. 2014","","No"
"668","PTRF","",1.0370924329612,0.03378922,"hLCL","Talkowski et al. 2014","","No"
"669","ACSL5","",-0.196187577996175,0.033816425,"hLCL","Talkowski et al. 2014","","No"
"670","DDX11","",-0.436557459686892,0.033821871,"hLCL","Talkowski et al. 2014","","No"
"671","KRT86","",1.05019547090604,0.033821871,"hLCL","Talkowski et al. 2014","","No"
"672","PPIL2","",-0.226193949382806,0.033925687,"hLCL","Talkowski et al. 2014","","No"
"673","SCAF4","",-0.212205304020966,0.034035656,"hLCL","Talkowski et al. 2014","","No"
"674","SAP30L","",-0.200080850303159,0.03411306,"hLCL","Talkowski et al. 2014","","No"
"675","PIGU","",-0.233155945343642,0.034201954,"hLCL","Talkowski et al. 2014","","No"
"676","MEX3B","",-1.09440244761202,0.034257749,"hLCL","Talkowski et al. 2014","","No"
"677","C4orf21","",-0.394646781234884,0.034353018,"hLCL","Talkowski et al. 2014","","No"
"678","ARMC10","",-0.233343541252094,0.034386769,"hLCL","Talkowski et al. 2014","","No"
"679","PPWD1","",-0.249723052066699,0.03442623,"hLCL","Talkowski et al. 2014","","No"
"680","RAMP2","",-0.944398723604244,0.034482759,"hLCL","Talkowski et al. 2014","","No"
"681","C9orf40","",-0.336255216362918,0.034539474,"hLCL","Talkowski et al. 2014","","No"
"682","AHCTF1","",-0.276746309470189,0.034596376,"hLCL","Talkowski et al. 2014","","No"
"683","TBK1","",-0.213084134520778,0.034596376,"hLCL","Talkowski et al. 2014","","No"
"684","CN5H6.4","",-0.399897578366743,0.034596376,"hLCL","Talkowski et al. 2014","","No"
"685","NIF3L1","",-0.290692685583044,0.034602076,"hLCL","Talkowski et al. 2014","","No"
"686","ITFG2","",-0.265629804428524,0.034768212,"hLCL","Talkowski et al. 2014","","No"
"687","MEGF8","",-0.256232838931673,0.034785489,"hLCL","Talkowski et al. 2014","","No"
"688","C17orf85","",-0.181658209662329,0.034825871,"hLCL","Talkowski et al. 2014","","No"
"689","MAP1LC3B2","",0.283905259724088,0.034883721,"hLCL","Talkowski et al. 2014","","No"
"690","COCH","",-0.517915148439664,0.035175879,"hLCL","Talkowski et al. 2014","","No"
"691","FAM98A","",-0.349546403661258,0.035175879,"hLCL","Talkowski et al. 2014","","No"
"692","SPIN4","",-0.657494047567128,0.035211268,"hLCL","Talkowski et al. 2014","","No"
"693","FBXO41","",-0.354925310880273,0.035383319,"hLCL","Talkowski et al. 2014","","No"
"694","MRFAP1L1","",-0.165542761322288,0.035413153,"hLCL","Talkowski et al. 2014","","No"
"695","RFC5","",-0.415795769356382,0.035472973,"hLCL","Talkowski et al. 2014","","No"
"696","XYLB","",-0.670134705196026,0.035532995,"hLCL","Talkowski et al. 2014","","No"
"697","ADNP2","",0.390109410840406,0.035575131,"hLCL","Talkowski et al. 2014","","No"
"698","NUP98","",-0.266992624788363,0.035665761,"hLCL","Talkowski et al. 2014","","No"
"699","ARHGAP33","",-0.578720623618285,0.03567788,"hLCL","Talkowski et al. 2014","","No"
"700","BEND6","",-0.704034004940246,0.035714286,"hLCL","Talkowski et al. 2014","","No"
"701","CETN3","",-0.377229163760665,0.035775128,"hLCL","Talkowski et al. 2014","","No"
"702","RBL1","",-0.45698187373184,0.035836177,"hLCL","Talkowski et al. 2014","","No"
"703","RBBP7","",-0.235528280031605,0.035836177,"hLCL","Talkowski et al. 2014","","No"
"704","DPCD","",0.326829899101223,0.035958904,"hLCL","Talkowski et al. 2014","","No"
"705","RWDD4","",-0.211808742063023,0.036144578,"hLCL","Talkowski et al. 2014","","No"
"706","LZTR1","",-0.264047755733025,0.036188179,"hLCL","Talkowski et al. 2014","","No"
"707","SHPRH","",-0.376421634847262,0.036188179,"hLCL","Talkowski et al. 2014","","No"
"708","TBC1D5","",-0.314309570832013,0.036231884,"hLCL","Talkowski et al. 2014","","No"
"709","EML4","",-0.397263971131745,0.03626943,"hLCL","Talkowski et al. 2014","","No"
"710","MKL2","",-0.37837157350559,0.03633218,"hLCL","Talkowski et al. 2014","","No"
"711","ZNF692","",-0.468069254811294,0.036357341,"hLCL","Talkowski et al. 2014","","No"
"712","SLC46A1","",-0.400664562677835,0.036369934,"hLCL","Talkowski et al. 2014","","No"
"713","ITIH4","",-0.901876158992757,0.036458333,"hLCL","Talkowski et al. 2014","","No"
"714","SNX10","",-0.640458560018143,0.036458333,"hLCL","Talkowski et al. 2014","","No"
"715","ATPAF1","",-0.216856651298706,0.036649215,"hLCL","Talkowski et al. 2014","","No"
"716","SULT1A3","",-0.398085185812707,0.036713287,"hLCL","Talkowski et al. 2014","","No"
"717","ACAD10","",-0.188805636675675,0.036777583,"hLCL","Talkowski et al. 2014","","No"
"718","HOXC4","",-0.76967514861823,0.036796916,"hLCL","Talkowski et al. 2014","","No"
"719","DMC1","",-0.437339527514425,0.036971831,"hLCL","Talkowski et al. 2014","","No"
"720","FAM173B","",-0.523816809815857,0.036971831,"hLCL","Talkowski et al. 2014","","No"
"721","SMA5","",-0.546643132925573,0.036971831,"hLCL","Talkowski et al. 2014","","No"
"722","KIFC1","",-0.379622566978371,0.036971831,"hLCL","Talkowski et al. 2014","","No"
"723","RRM2","",-0.641298130630776,0.037037037,"hLCL","Talkowski et al. 2014","","No"
"724","GOLGA8G","",-0.450201549878045,0.037102473,"hLCL","Talkowski et al. 2014","","No"
"725","SPATA2L","",0.317415676074052,0.037102473,"hLCL","Talkowski et al. 2014","","No"
"726","PRPF38B","",-0.22551167323078,0.037168142,"hLCL","Talkowski et al. 2014","","No"
"727","ATF6B","",-0.230287056213841,0.037234043,"hLCL","Talkowski et al. 2014","","No"
"728","GPLD1","",-0.846139174722209,0.037234043,"hLCL","Talkowski et al. 2014","","No"
"729","GUSBP2","",-0.435210499307273,0.037286932,"hLCL","Talkowski et al. 2014","","No"
"730","LEO1","",-0.290356267509789,0.037326697,"hLCL","Talkowski et al. 2014","","No"
"731","SCFD1","",-0.237900377701987,0.037366548,"hLCL","Talkowski et al. 2014","","No"
"732","CELP","",-0.996598980422714,0.037366548,"hLCL","Talkowski et al. 2014","","No"
"733","LOC341056","",-0.530954260618947,0.037459864,"hLCL","Talkowski et al. 2014","","No"
"734","SMC5","",-0.386900486702929,0.0375,"hLCL","Talkowski et al. 2014","","No"
"735","SLC4A7","",-0.459722279191762,0.037796976,"hLCL","Talkowski et al. 2014","","No"
"736","MYCL1","",1.0313194090345,0.037892458,"hLCL","Talkowski et al. 2014","","No"
"737","GIN1","",-0.400574989952236,0.037974684,"hLCL","Talkowski et al. 2014","","No"
"738","RPS9","",0.224746798190136,0.038181818,"hLCL","Talkowski et al. 2014","","No"
"739","RG9MTD2","",-0.349155402014931,0.038181818,"hLCL","Talkowski et al. 2014","","No"
"740","UBE2NL","",-0.866074446629966,0.038377193,"hLCL","Talkowski et al. 2014","","No"
"741","GPR75-ASB3","",-0.229921259143439,0.038461538,"hLCL","Talkowski et al. 2014","","No"
"742","ZNF512B","",-0.295184211464845,0.038482683,"hLCL","Talkowski et al. 2014","","No"
"743","EIF2C3","",-0.260436575164456,0.03853211,"hLCL","Talkowski et al. 2014","","No"
"744","ATG2B","",-0.201750051562224,0.038602941,"hLCL","Talkowski et al. 2014","","No"
"745","THADA","",-0.29274913159619,0.038602941,"hLCL","Talkowski et al. 2014","","No"
"746","GSTO1","",0.21204052891995,0.038674033,"hLCL","Talkowski et al. 2014","","No"
"747","SDHAP1","",-0.3138743286412,0.038674033,"hLCL","Talkowski et al. 2014","","No"
"748","C7orf53","",0.5635989896992,0.038674033,"hLCL","Talkowski et al. 2014","","No"
"749","GEMIN5","",-0.3547874504502,0.039055235,"hLCL","Talkowski et al. 2014","","No"
"750","C9orf156","",0.283441491179891,0.039252336,"hLCL","Talkowski et al. 2014","","No"
"751","TRAIP","",-0.278652894936597,0.039325843,"hLCL","Talkowski et al. 2014","","No"
"752","TMPO","",-0.366886715142501,0.039399625,"hLCL","Talkowski et al. 2014","","No"
"753","TFDP1","",-0.329233823449415,0.039399625,"hLCL","Talkowski et al. 2014","","No"
"754","SRSF1","",-0.246573912001838,0.039399625,"hLCL","Talkowski et al. 2014","","No"
"755","RFC4","",-0.335674899882187,0.039399625,"hLCL","Talkowski et al. 2014","","No"
"756","RCCD1","",-0.270495655317786,0.039473684,"hLCL","Talkowski et al. 2014","","No"
"757","TEN1","",0.301582866095025,0.039473684,"hLCL","Talkowski et al. 2014","","No"
"758","NAPEPLD","",-0.403596533130684,0.039473684,"hLCL","Talkowski et al. 2014","","No"
"759","FTCD","",1.11644688748836,0.039548023,"hLCL","Talkowski et al. 2014","","No"
"760","TOPBP1","",-0.335052140653582,0.039548023,"hLCL","Talkowski et al. 2014","","No"
"761","ATAT1","",-0.310702188664194,0.039548023,"hLCL","Talkowski et al. 2014","","No"
"762","TAF4","",-0.24735881759803,0.039622642,"hLCL","Talkowski et al. 2014","","No"
"763","SPDYE2L","",-0.61105634680052,0.039622642,"hLCL","Talkowski et al. 2014","","No"
"764","PNN","",-0.229475135318022,0.039697543,"hLCL","Talkowski et al. 2014","","No"
"765","C15orf37","",0.441336476554434,0.039697543,"hLCL","Talkowski et al. 2014","","No"
"766","ZNF673","",-0.22798144788403,0.039697543,"hLCL","Talkowski et al. 2014","","No"
"767","ZNF23","",-0.328324197785992,0.039848197,"hLCL","Talkowski et al. 2014","","No"
"768","ETNK1","",-0.316566970602754,0.04,"hLCL","Talkowski et al. 2014","","No"
"769","LOC388588","",0.977396325149411,0.040076336,"hLCL","Talkowski et al. 2014","","No"
"770","SMEK1","",-0.105820735262974,0.040152964,"hLCL","Talkowski et al. 2014","","No"
"771","GINS4","",-0.505833024633269,0.040152964,"hLCL","Talkowski et al. 2014","","No"
"772","ZNF236","",-0.354825474635579,0.040384615,"hLCL","Talkowski et al. 2014","","No"
"773","ANKHD1-EIF4EBP3","",-0.16117804958388,0.040392383,"hLCL","Talkowski et al. 2014","","No"
"774","MASTL","",-0.208781993132155,0.040618956,"hLCL","Talkowski et al. 2014","","No"
"775","CEP85","",-0.286599128560702,0.040697674,"hLCL","Talkowski et al. 2014","","No"
"776","CD97","",0.257518011137156,0.040697674,"hLCL","Talkowski et al. 2014","","No"
"777","ASB3","",-0.213043302073279,0.040697674,"hLCL","Talkowski et al. 2014","","No"
"778","MSL3P1","",0.618060456245114,0.040697674,"hLCL","Talkowski et al. 2014","","No"
"779","C17orf65","",-0.414387498093926,0.04072135,"hLCL","Talkowski et al. 2014","","No"
"780","LOC100287042","",-0.368478457888091,0.041144201,"hLCL","Talkowski et al. 2014","","No"
"781","EIF1B","",0.282717144697927,0.041281698,"hLCL","Talkowski et al. 2014","","No"
"782","GUSBP9","",-0.568006371707042,0.041322314,"hLCL","Talkowski et al. 2014","","No"
"783","EIF1","",0.39687602248849,0.041420118,"hLCL","Talkowski et al. 2014","","No"
"784","C14orf142","",-0.356442996642833,0.041501976,"hLCL","Talkowski et al. 2014","","No"
"785","TSHZ1","",-0.413637450825958,0.041501976,"hLCL","Talkowski et al. 2014","","No"
"786","ZNF311","",-0.312620068714656,0.041666667,"hLCL","Talkowski et al. 2014","","No"
"787","PHF10","",-0.341595372452411,0.041749503,"hLCL","Talkowski et al. 2014","","No"
"788","HLA-A","",0.264194349520365,0.041832669,"hLCL","Talkowski et al. 2014","","No"
"789","WDR90","",-0.442969383259789,0.041974815,"hLCL","Talkowski et al. 2014","","No"
"790","FAM72A","",-0.581499784794228,0.042,"hLCL","Talkowski et al. 2014","","No"
"791","CTAGE6P","",-0.892824736644992,0.042084168,"hLCL","Talkowski et al. 2014","","No"
"792","MTHFD1","",-0.335291952948206,0.042253521,"hLCL","Talkowski et al. 2014","","No"
"793","PUM2","",-0.263266427742287,0.042253521,"hLCL","Talkowski et al. 2014","","No"
"794","LOC100506190","",0.57829393860146,0.042347247,"hLCL","Talkowski et al. 2014","","No"
"795","WIBG","",-0.335874686469575,0.042424242,"hLCL","Talkowski et al. 2014","","No"
"796","PAWR","",-0.50027008309494,0.042424242,"hLCL","Talkowski et al. 2014","","No"
"797","BRI3","",0.377421400701107,0.042424242,"hLCL","Talkowski et al. 2014","","No"
"798","MPHOSPH10","",-0.242176740579592,0.042510121,"hLCL","Talkowski et al. 2014","","No"
"799","ZNF107","",-0.439960418117302,0.042510121,"hLCL","Talkowski et al. 2014","","No"
"800","PLAU","",1.15164431124484,0.042682927,"hLCL","Talkowski et al. 2014","","No"
"801","NCAPD3","",-0.456059993243498,0.042769857,"hLCL","Talkowski et al. 2014","","No"
"802","HIST1H2AE","",0.717190114311098,0.042769857,"hLCL","Talkowski et al. 2014","","No"
"803","ATP6V1E1","",0.187293997909164,0.04277857,"hLCL","Talkowski et al. 2014","","No"
"804","FLJ43390","",-1.24237542694919,0.042857143,"hLCL","Talkowski et al. 2014","","No"
"805","BOD1L","",-0.234496438251687,0.042857143,"hLCL","Talkowski et al. 2014","","No"
"806","UCHL5","",-0.322995429314996,0.043032787,"hLCL","Talkowski et al. 2014","","No"
"807","C19orf44","",-0.345998265958665,0.04312115,"hLCL","Talkowski et al. 2014","","No"
"808","KIAA1524","",-0.515057255550669,0.04312115,"hLCL","Talkowski et al. 2014","","No"
"809","ZNF85","",-0.545370220009478,0.043174342,"hLCL","Talkowski et al. 2014","","No"
"810","RBBP8","",-0.44830482320017,0.043209877,"hLCL","Talkowski et al. 2014","","No"
"811","ANKMY1","",-0.36643694659496,0.043209877,"hLCL","Talkowski et al. 2014","","No"
"812","LRIT3","",-0.819903720249738,0.043209877,"hLCL","Talkowski et al. 2014","","No"
"813","NAA15","",-0.365583333811501,0.043209877,"hLCL","Talkowski et al. 2014","","No"
"814","AP4B1","",-0.263917838190361,0.043478261,"hLCL","Talkowski et al. 2014","","No"
"815","TMEM107","",-0.446920949434276,0.043478261,"hLCL","Talkowski et al. 2014","","No"
"816","UBA52","",0.136683281120442,0.043478261,"hLCL","Talkowski et al. 2014","","No"
"817","GSTCD","",-0.574528055863465,0.043568465,"hLCL","Talkowski et al. 2014","","No"
"818","SCLT1","",-0.298561673540729,0.043568465,"hLCL","Talkowski et al. 2014","","No"
"819","NUP43","",-0.283435497161782,0.043568465,"hLCL","Talkowski et al. 2014","","No"
"820","SMNDC1","",0.137146698519658,0.04375,"hLCL","Talkowski et al. 2014","","No"
"821","TCEANC2","",-0.245184423213654,0.043905499,"hLCL","Talkowski et al. 2014","","No"
"822","PPP1R21","",-0.338228143461375,0.043933054,"hLCL","Talkowski et al. 2014","","No"
"823","SKAP2","",-0.502788398300484,0.043933054,"hLCL","Talkowski et al. 2014","","No"
"824","TMX3","",-0.290442865322309,0.044025157,"hLCL","Talkowski et al. 2014","","No"
"825","EGLN1","",-0.49944034415028,0.044117647,"hLCL","Talkowski et al. 2014","","No"
"826","ZNF850","",-0.323055400857529,0.044117647,"hLCL","Talkowski et al. 2014","","No"
"827","HK2","",-0.557313039330256,0.044210526,"hLCL","Talkowski et al. 2014","","No"
"828","TMEM111","",0.18305163000428,0.044210526,"hLCL","Talkowski et al. 2014","","No"
"829","JAG2","",0.5948550696181,0.044303797,"hLCL","Talkowski et al. 2014","","No"
"830","HERC2P4","",-0.339079199309346,0.044303797,"hLCL","Talkowski et al. 2014","","No"
"831","FBXO48","",-0.394481989644323,0.044491525,"hLCL","Talkowski et al. 2014","","No"
"832","PCMTD2","",-0.290039110639732,0.044491525,"hLCL","Talkowski et al. 2014","","No"
"833","RSRC1","",-0.416943815829517,0.044491525,"hLCL","Talkowski et al. 2014","","No"
"834","BTK","",-0.265882627364307,0.044491525,"hLCL","Talkowski et al. 2014","","No"
"835","EIF3F","",0.185210427116855,0.044680851,"hLCL","Talkowski et al. 2014","","No"
"836","UBQLN4","",-0.237474734300226,0.044776119,"hLCL","Talkowski et al. 2014","","No"
"837","MAFG","",0.29395978863221,0.044776119,"hLCL","Talkowski et al. 2014","","No"
"838","RPL10","",0.240293725364073,0.044776119,"hLCL","Talkowski et al. 2014","","No"
"839","KCNN1","",0.945025931105932,0.044871795,"hLCL","Talkowski et al. 2014","","No"
"840","TAF9B","",-0.460836695384813,0.044871795,"hLCL","Talkowski et al. 2014","","No"
"841","SOS1","",-0.326144036683607,0.045356371,"hLCL","Talkowski et al. 2014","","No"
"842","LAMA2","",-0.68577324476587,0.045356371,"hLCL","Talkowski et al. 2014","","No"
"843","ZNF277","",0.28571066752736,0.045454545,"hLCL","Talkowski et al. 2014","","No"
"844","ESPL1","",-0.313719423763342,0.045553145,"hLCL","Talkowski et al. 2014","","No"
"845","DMTF1","",-0.269753802823492,0.045553145,"hLCL","Talkowski et al. 2014","","No"
"846","ARHGAP18","",-0.607658527008374,0.045652174,"hLCL","Talkowski et al. 2014","","No"
"847","ZMYM4","",-0.272680256696771,0.045751634,"hLCL","Talkowski et al. 2014","","No"
"848","UBE2N","",-0.253384948607016,0.045751634,"hLCL","Talkowski et al. 2014","","No"
"849","ZNF367","",-0.359242175121294,0.045751634,"hLCL","Talkowski et al. 2014","","No"
"850","TDRD3","",-0.264622560436909,0.045851528,"hLCL","Talkowski et al. 2014","","No"
"851","ST6GAL2","",-0.732556626063368,0.045851528,"hLCL","Talkowski et al. 2014","","No"
"852","FBF1","",-0.600755790333816,0.04595186,"hLCL","Talkowski et al. 2014","","No"
"853","UBE3B","",-0.251304451130746,0.046052632,"hLCL","Talkowski et al. 2014","","No"
"854","PI4KAP2","",-0.214355697680747,0.046052632,"hLCL","Talkowski et al. 2014","","No"
"855","DEGS2","",0.86677789280251,0.046153846,"hLCL","Talkowski et al. 2014","","No"
"856","CEP44","",-0.307444336350919,0.046153846,"hLCL","Talkowski et al. 2014","","No"
"857","ZDHHC21","",-0.323482373555413,0.046153846,"hLCL","Talkowski et al. 2014","","No"
"858","CSNK1D","",0.139580970521636,0.046255507,"hLCL","Talkowski et al. 2014","","No"
"859","DNASE1","",-0.380393410323418,0.046460177,"hLCL","Talkowski et al. 2014","","No"
"860","DNAJA3","",-0.2385589001576,0.046460177,"hLCL","Talkowski et al. 2014","","No"
"861","GTF3A","",-0.391471674085646,0.046521932,"hLCL","Talkowski et al. 2014","","No"
"862","C16orf59","",-0.45238103156423,0.046563193,"hLCL","Talkowski et al. 2014","","No"
"863","KHSRP","",-0.219794329817102,0.046563193,"hLCL","Talkowski et al. 2014","","No"
"864","NUP62","",-0.180380169258551,0.046563193,"hLCL","Talkowski et al. 2014","","No"
"865","FAM72B","",-0.566256464926252,0.046770601,"hLCL","Talkowski et al. 2014","","No"
"866","KRR1","",-0.237270517885112,0.046770601,"hLCL","Talkowski et al. 2014","","No"
"867","MAP3K14","",0.265441498983088,0.046770601,"hLCL","Talkowski et al. 2014","","No"
"868","NOTCH4","",0.649864669946031,0.046770601,"hLCL","Talkowski et al. 2014","","No"
"869","H2AFV","",-0.189782842152684,0.046875,"hLCL","Talkowski et al. 2014","","No"
"870","SULT1A4","",-0.398085185812707,0.046979866,"hLCL","Talkowski et al. 2014","","No"
"871","ZDHHC16","",-0.333948578917624,0.047085202,"hLCL","Talkowski et al. 2014","","No"
"872","FXYD6","",1.51096403978443,0.047085202,"hLCL","Talkowski et al. 2014","","No"
"873","KLK1","",0.661963020815123,0.047191011,"hLCL","Talkowski et al. 2014","","No"
"874","OCIAD1","",-0.146561638447926,0.047191011,"hLCL","Talkowski et al. 2014","","No"
"875","AGAP2","",-0.214603591145736,0.047297297,"hLCL","Talkowski et al. 2014","","No"
"876","MBNL1","",-0.289556918115368,0.047297297,"hLCL","Talkowski et al. 2014","","No"
"877","GTF2H2C","",-0.321721128079495,0.047619048,"hLCL","Talkowski et al. 2014","","No"
"878","UXT","",0.17261276211737,0.047619048,"hLCL","Talkowski et al. 2014","","No"
"879","PAPOLA","",-0.250972060608148,0.047727273,"hLCL","Talkowski et al. 2014","","No"
"880","RELB","",0.370158190512545,0.047727273,"hLCL","Talkowski et al. 2014","","No"
"881","CNPY4","",-0.330169298496525,0.047835991,"hLCL","Talkowski et al. 2014","","No"
"882","UBXN6","",0.225154119773402,0.047945205,"hLCL","Talkowski et al. 2014","","No"
"883","DZIP3","",-0.290967166470852,0.047945205,"hLCL","Talkowski et al. 2014","","No"
"884","SDAD1","",-0.212713796733572,0.048275862,"hLCL","Talkowski et al. 2014","","No"
"885","PTRHD1","",0.22517608027566,0.048387097,"hLCL","Talkowski et al. 2014","","No"
"886","BRD8","",-0.27724693575204,0.048498845,"hLCL","Talkowski et al. 2014","","No"
"887","IZUMO4","",0.558996456227251,0.048611111,"hLCL","Talkowski et al. 2014","","No"
"888","POLA1","",-0.471424898622835,0.048611111,"hLCL","Talkowski et al. 2014","","No"
"889","VPS33B","",0.111519309608234,0.048723898,"hLCL","Talkowski et al. 2014","","No"
"890","WWC3","",-0.793104516465594,0.048735205,"hLCL","Talkowski et al. 2014","","No"
"891","CSE1L","",-0.387214011393664,0.048837209,"hLCL","Talkowski et al. 2014","","No"
"892","SPAG16","",-0.317987832268614,0.048951049,"hLCL","Talkowski et al. 2014","","No"
"893","GALNT10","",-0.634083808104126,0.048951049,"hLCL","Talkowski et al. 2014","","No"
