"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"132","KIF20A","",-0.501387714461771,0.00453,"hLCL","Talkowski et al. 2014","","No"
"133","FRYL","",-0.398975988414882,0.004544,"hLCL","Talkowski et al. 2014","","No"
"134","NCAPG","",-0.49207197495482,0.0046,"hLCL","Talkowski et al. 2014","","No"
"135","NSL1","",-0.305234116847267,0.0048,"hLCL","Talkowski et al. 2014","","No"
"136","DIS3L","",-0.371195902558944,0.00484,"hLCL","Talkowski et al. 2014","","No"
"137","SUGP2","",-0.296814634050419,0.00487,"hLCL","Talkowski et al. 2014","","No"
"138","SLC25A26","",0.247434603408681,0.0049,"hLCL","Talkowski et al. 2014","","No"
"139","SGK494","",-0.65546221148517,0.00501,"hLCL","Talkowski et al. 2014","","No"
"140","VMA21","",-0.268274540838181,0.00502,"hLCL","Talkowski et al. 2014","","No"
"141","PRPF3","",-0.297719352850156,0.0051,"hLCL","Talkowski et al. 2014","","No"
"142","KIF20B","",-0.489774367018751,0.0051,"hLCL","Talkowski et al. 2014","","No"
"143","KLRAP1","",-0.478549922075018,0.0051,"hLCL","Talkowski et al. 2014","","No"
"144","ABHD10","",-0.303976934318334,0.0051,"hLCL","Talkowski et al. 2014","","No"
"145","MUTYH","",-0.351398901236736,0.00511,"hLCL","Talkowski et al. 2014","","No"
"146","G2E3","",-0.423809424483126,0.00519,"hLCL","Talkowski et al. 2014","","No"
"147","TERF1","",-0.241236182436614,0.0052,"hLCL","Talkowski et al. 2014","","No"
"148","LIMS3","",-0.417600329050267,0.0054,"hLCL","Talkowski et al. 2014","","No"
"149","RMI1","",-0.613650176136162,0.0054,"hLCL","Talkowski et al. 2014","","No"
"150","ANP32E","",-0.345096533574492,0.0055,"hLCL","Talkowski et al. 2014","","No"
"151","NKTR","",-0.464033536696414,0.00557,"hLCL","Talkowski et al. 2014","","No"
"152","ZWINT","",-0.631708229583253,0.0056,"hLCL","Talkowski et al. 2014","","No"
"153","HNRNPL","",-0.226011951426223,0.0056,"hLCL","Talkowski et al. 2014","","No"
"154","CEP72","",-0.36385761934116,0.0056,"hLCL","Talkowski et al. 2014","","No"
"155","ZMYND11","",-0.420637100831833,0.0057,"hLCL","Talkowski et al. 2014","","No"
"156","CYB5RL","",-0.518579664285911,0.00575,"hLCL","Talkowski et al. 2014","","No"
"157","FAM178A","",-0.379180967980531,0.00579,"hLCL","Talkowski et al. 2014","","No"
"158","OMG","",-1.46471394968414,0.0058,"hLCL","Talkowski et al. 2014","","No"
"159","PTBP1","",-0.264783460343481,0.0058,"hLCL","Talkowski et al. 2014","","No"
"160","UMODL1","",2.23561292221765,0.0058,"hLCL","Talkowski et al. 2014","","No"
"161","C6orf147","",-0.815654378527018,0.0059,"hLCL","Talkowski et al. 2014","","No"
"162","ZNF738","",-0.316740242030404,0.00592,"hLCL","Talkowski et al. 2014","","No"
"163","AGPAT4","",0.710591874076876,0.00597,"hLCL","Talkowski et al. 2014","","No"
"164","EXO1","",-0.638378841156797,0.006,"hLCL","Talkowski et al. 2014","","No"
"165","CCDC41","",-0.479025236314355,0.006,"hLCL","Talkowski et al. 2014","","No"
"166","PPP5C","",-0.308455706771849,0.006,"hLCL","Talkowski et al. 2014","","No"
"167","LIMS3L","",-0.417600329050267,0.006,"hLCL","Talkowski et al. 2014","","No"
"168","CENPE","",-0.535656012012569,0.006,"hLCL","Talkowski et al. 2014","","No"
"169","GPR113","",-0.623998046678365,0.0062,"hLCL","Talkowski et al. 2014","","No"
"170","ZSCAN21","",0.303491881047298,0.0062,"hLCL","Talkowski et al. 2014","","No"
"171","RAD52","",-0.788723651113815,0.00624,"hLCL","Talkowski et al. 2014","","No"
"172","KIAA0528","",-0.4139363661563,0.0063,"hLCL","Talkowski et al. 2014","","No"
"173","TTI1","",-0.33233644846084,0.00643,"hLCL","Talkowski et al. 2014","","No"
"174","QTRTD1","",-0.3262426673538,0.0066,"hLCL","Talkowski et al. 2014","","No"
"175","C5","",-0.787285249797607,0.0067,"hLCL","Talkowski et al. 2014","","No"
"176","MLEC","",-0.490225995751987,0.00673,"hLCL","Talkowski et al. 2014","","No"
"177","GPN2","",0.209597152579988,0.0068,"hLCL","Talkowski et al. 2014","","No"
"178","ZNF138","",-0.27795517105617,0.0069,"hLCL","Talkowski et al. 2014","","No"
"179","PTPN22","",-0.442895310684134,0.007,"hLCL","Talkowski et al. 2014","","No"
"180","HNRNPU","",-0.300779420463249,0.007,"hLCL","Talkowski et al. 2014","","No"
"181","TMEM120A","",0.894669257876259,0.00709,"hLCL","Talkowski et al. 2014","","No"
"182","BRIP1","",-0.35782427578941,0.0071,"hLCL","Talkowski et al. 2014","","No"
"183","AKT1","",-0.191804090102707,0.0072,"hLCL","Talkowski et al. 2014","","No"
"184","HIST1H2AK","",0.746397516142101,0.0072,"hLCL","Talkowski et al. 2014","","No"
"185","CASP8AP2","",-0.529536226019318,0.0072,"hLCL","Talkowski et al. 2014","","No"
"186","SMPD4","",-0.316345615069704,0.00722,"hLCL","Talkowski et al. 2014","","No"
"187","INTS10","",-0.275501283374761,0.00728,"hLCL","Talkowski et al. 2014","","No"
"188","ZNF684","",-0.341147762429541,0.0073,"hLCL","Talkowski et al. 2014","","No"
"189","PILRB","",-0.540989577589657,0.00735,"hLCL","Talkowski et al. 2014","","No"
"190","SKA2","",-0.276900900732697,0.0074,"hLCL","Talkowski et al. 2014","","No"
"191","ESCO2","",-0.706479958863983,0.0074,"hLCL","Talkowski et al. 2014","","No"
"192","DPY19L2P2","",-0.631214056003209,0.00744,"hLCL","Talkowski et al. 2014","","No"
"193","ZDHHC13","",-0.243878308062794,0.0075,"hLCL","Talkowski et al. 2014","","No"
"194","U2AF2","",-0.275294883325953,0.0075,"hLCL","Talkowski et al. 2014","","No"
"195","FIGNL1","",-0.496969932582221,0.0075,"hLCL","Talkowski et al. 2014","","No"
"196","CCDC76","",-0.406501487710996,0.0076,"hLCL","Talkowski et al. 2014","","No"
"197","E2F8","",-0.670072301666323,0.0077,"hLCL","Talkowski et al. 2014","","No"
"198","TTC14","",-0.305001662110363,0.0077,"hLCL","Talkowski et al. 2014","","No"
"199","RAD54L","",-0.450543558574486,0.0078,"hLCL","Talkowski et al. 2014","","No"
"200","DRP2","",-1.15231444139252,0.0078,"hLCL","Talkowski et al. 2014","","No"
"201","TOP2A","",-0.475262478169395,0.00786,"hLCL","Talkowski et al. 2014","","No"
"202","EIF4G3","",-0.377449759358742,0.0079,"hLCL","Talkowski et al. 2014","","No"
"203","ZWILCH","",-0.543288194021708,0.0079,"hLCL","Talkowski et al. 2014","","No"
