"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"93","LOC100133612","",-0.699120261145872,0.0022,"hLCL","Talkowski et al. 2014","","No"
"94","FSCN2","",-0.603264595913481,0.00226,"hLCL","Talkowski et al. 2014","","No"
"95","ARL11","",-0.761977969036154,0.00228,"hLCL","Talkowski et al. 2014","","No"
"96","PATL2","",-0.602059224911402,0.0023,"hLCL","Talkowski et al. 2014","","No"
"97","OGT","",-0.402900450300207,0.0023,"hLCL","Talkowski et al. 2014","","No"
"98","PGBD1","",0.674674090456926,0.00231,"hLCL","Talkowski et al. 2014","","No"
"99","PNOC","",-0.767694565657132,0.002338,"hLCL","Talkowski et al. 2014","","No"
"100","LOC728393","",-2.58700832736563,0.00239,"hLCL","Talkowski et al. 2014","","No"
"101","AP1G2","",-0.394690621740495,0.0024,"hLCL","Talkowski et al. 2014","","No"
"102","MRFAP1","",0.263928061315196,0.00244,"hLCL","Talkowski et al. 2014","","No"
"103","USP17L5","",-2.58700832736563,0.00244,"hLCL","Talkowski et al. 2014","","No"
"104","TPRKB","",-0.411725164295453,0.0025,"hLCL","Talkowski et al. 2014","","No"
"105","CCDC110","",-1.96385946431078,0.00254,"hLCL","Talkowski et al. 2014","","No"
"106","NEFH","",-2.43223565313332,0.00256,"hLCL","Talkowski et al. 2014","","No"
"107","LRSAM1","",-0.359886501235555,0.0026,"hLCL","Talkowski et al. 2014","","No"
"108","LOC728373","",-2.58700832736563,0.00265,"hLCL","Talkowski et al. 2014","","No"
"109","METRNL","",-1.4880531120022,0.0027,"hLCL","Talkowski et al. 2014","","No"
"110","NAPSB","",-1.68046709020816,0.0027,"hLCL","Talkowski et al. 2014","","No"
"111","LOC728400","",-2.58700832736563,0.0027,"hLCL","Talkowski et al. 2014","","No"
"112","ZNF138","",-0.231160270268382,0.0027,"hLCL","Talkowski et al. 2014","","No"
"113","TNFRSF10B","",0.398122984564807,0.0027,"hLCL","Talkowski et al. 2014","","No"
"114","LOC728379","",-2.58700832736563,0.00276,"hLCL","Talkowski et al. 2014","","No"
"115","MTRF1","",-0.276233301807792,0.0028,"hLCL","Talkowski et al. 2014","","No"
"116","LOC728369","",-2.58700832736563,0.0028,"hLCL","Talkowski et al. 2014","","No"
"117","SYNJ2","",1.04259381978681,0.0028,"hLCL","Talkowski et al. 2014","","No"
"118","TJP2","",0.824038343119316,0.0028,"hLCL","Talkowski et al. 2014","","No"
"119","PRKAR1B","",-0.53373371289737,0.00283,"hLCL","Talkowski et al. 2014","","No"
"120","LOC728405","",-2.58700832736563,0.00287,"hLCL","Talkowski et al. 2014","","No"
"121","SSH1","",0.71039045710909,0.0029,"hLCL","Talkowski et al. 2014","","No"
"122","CASP14","",-1.73696563263807,0.0029,"hLCL","Talkowski et al. 2014","","No"
"123","MCTP1","",1.43611618043947,0.0029,"hLCL","Talkowski et al. 2014","","No"
"124","RRAGC","",0.761419056483195,0.00296,"hLCL","Talkowski et al. 2014","","No"
"125","PTTG1IP","",0.322791504128681,0.00297,"hLCL","Talkowski et al. 2014","","No"
"126","LOC100133445","",-0.526375094863802,0.003,"hLCL","Talkowski et al. 2014","","No"
"127","RASGRP1","",1.02469096934325,0.003,"hLCL","Talkowski et al. 2014","","No"
"128","LINC00152","",-1.09433144978415,0.003,"hLCL","Talkowski et al. 2014","","No"
"129","DEPDC5","",-0.29076557312335,0.003,"hLCL","Talkowski et al. 2014","","No"
"130","DMTF1","",-0.357661022876954,0.003,"hLCL","Talkowski et al. 2014","","No"
"131","LOC100132741","",-1.19565245535761,0.003,"hLCL","Talkowski et al. 2014","","No"
"132","RAB7L1","",0.727278282971367,0.0031,"hLCL","Talkowski et al. 2014","","No"
"133","NR2C1","",-0.402131214812926,0.0031,"hLCL","Talkowski et al. 2014","","No"
"134","LHFP","",1.17166881944769,0.0031,"hLCL","Talkowski et al. 2014","","No"
"135","HIF1A","",0.344056650921927,0.0031,"hLCL","Talkowski et al. 2014","","No"
"136","TMEM80","",-0.480652034446958,0.0032,"hLCL","Talkowski et al. 2014","","No"
"137","TBXA2R","",0.650554272368145,0.0032,"hLCL","Talkowski et al. 2014","","No"
"138","CALCRL","",0.927266169625321,0.0033,"hLCL","Talkowski et al. 2014","","No"
"139","ISLR2","",-1.8641617877268,0.0034,"hLCL","Talkowski et al. 2014","","No"
"140","ZNF710","",0.277729161199954,0.0034,"hLCL","Talkowski et al. 2014","","No"
"141","SERINC5","",1.05237975745716,0.0034,"hLCL","Talkowski et al. 2014","","No"
"142","C1orf54","",-1.31443960541311,0.0035,"hLCL","Talkowski et al. 2014","","No"
"143","NUDT4","",-0.42373896102369,0.0036,"hLCL","Talkowski et al. 2014","","No"
"144","KLHL26","",0.194880519186147,0.0036,"hLCL","Talkowski et al. 2014","","No"
"145","EFR3B","",-2.43111773713592,0.0036,"hLCL","Talkowski et al. 2014","","No"
"146","CBWD2","",-0.343367666936986,0.0036,"hLCL","Talkowski et al. 2014","","No"
"147","DNAJC5B","",-2.12367405208532,0.0036,"hLCL","Talkowski et al. 2014","","No"
"148","ITGB3","",1.235048189005,0.0037,"hLCL","Talkowski et al. 2014","","No"
"149","KIAA1875","",-0.753563400881477,0.0037,"hLCL","Talkowski et al. 2014","","No"
"150","TMEM198B","",-0.467453468669416,0.0038,"hLCL","Talkowski et al. 2014","","No"
"151","FAS","",0.65045691616792,0.0039,"hLCL","Talkowski et al. 2014","","No"
"152","FLJ46446","",-1.19565245535761,0.0039,"hLCL","Talkowski et al. 2014","","No"
"153","PRKCE","",-1.28135340767203,0.00399,"hLCL","Talkowski et al. 2014","","No"
"154","OR4F16","",0.424028194747823,0.004,"hLCL","Talkowski et al. 2014","","No"
"155","OR4F3","",0.424028194747823,0.004,"hLCL","Talkowski et al. 2014","","No"
"156","ADAP2","",-1.47123028394794,0.004,"hLCL","Talkowski et al. 2014","","No"
"157","LRG1","",-1.29979205500679,0.004,"hLCL","Talkowski et al. 2014","","No"
"158","SOAT1","",0.64023440889246,0.0041,"hLCL","Talkowski et al. 2014","","No"
"159","DAK","",-0.202087290244618,0.00414,"hLCL","Talkowski et al. 2014","","No"
"160","NUDT4P1","",-0.418311535703276,0.0042,"hLCL","Talkowski et al. 2014","","No"
"161","ORC6","",-0.775950550863673,0.0042,"hLCL","Talkowski et al. 2014","","No"
"162","CACNA1A","",-1.3286655749355,0.0042,"hLCL","Talkowski et al. 2014","","No"
"163","LFNG","",1.67395294329594,0.0042,"hLCL","Talkowski et al. 2014","","No"
"164","SLAMF1","",0.495493278628389,0.0043,"hLCL","Talkowski et al. 2014","","No"
"165","NRN1","",2.75494229468062,0.0043,"hLCL","Talkowski et al. 2014","","No"
"166","ARHGEF11","",0.897334980388488,0.0044,"hLCL","Talkowski et al. 2014","","No"
"167","PLXNB2","",0.389322339040464,0.0044,"hLCL","Talkowski et al. 2014","","No"
"168","HIPK1","",0.34238089821527,0.0045,"hLCL","Talkowski et al. 2014","","No"
"169","HPS1","",-0.33551783137613,0.0045,"hLCL","Talkowski et al. 2014","","No"
"170","SCARNA9","",-0.43930871765558,0.0045,"hLCL","Talkowski et al. 2014","","No"
"171","C14orf49","",0.521024878748358,0.0045,"hLCL","Talkowski et al. 2014","","No"
"172","ZNF276","",-0.331467933227296,0.0045,"hLCL","Talkowski et al. 2014","","No"
"173","HIST1H4C","",-0.696643746821523,0.0045,"hLCL","Talkowski et al. 2014","","No"
"174","FBXO16","",-0.996249889260191,0.0045,"hLCL","Talkowski et al. 2014","","No"
"175","OR4F29","",0.424028194747823,0.0046,"hLCL","Talkowski et al. 2014","","No"
"176","ACTA1","",-0.57874067755029,0.0046,"hLCL","Talkowski et al. 2014","","No"
"177","C14orf109","",0.345640708972493,0.0046,"hLCL","Talkowski et al. 2014","","No"
"178","HIST1H3A","",-0.779224535384562,0.0046,"hLCL","Talkowski et al. 2014","","No"
"179","GK3P","",0.415014563130764,0.0047,"hLCL","Talkowski et al. 2014","","No"
"180","C17orf81","",0.176016782876629,0.0048,"hLCL","Talkowski et al. 2014","","No"
"181","AGAP3","",0.342440598525474,0.0048,"hLCL","Talkowski et al. 2014","","No"
