region,gene_symbol,AHBA_expression,in_16p_region,Model,Estimate,Std. Error,t_value,Pr(>|t|),Significance,SigPos,adjusted_p
ctx-lh-rostralanteriorcingulate,PAGR1,0.5358819950683941,No,model3,0.22813738974994544,0.11197173763584271,2.037455116503591,0.04329439708935768,*,0.4401091273857881,0.1011304237354462
ctx-lh-rostralanteriorcingulate,TRAF3IP3,0.5031208035888883,No,model3,0.22813738974994544,0.11197173763584271,2.037455116503591,0.04329439708935768,*,0.4401091273857881,0.1011304237354462
ctx-lh-rostralanteriorcingulate,PMFBP1,0.3861615804860848,No,model3,0.22813738974994544,0.11197173763584271,2.037455116503591,0.04329439708935768,*,0.4401091273857881,0.1011304237354462
ctx-lh-rostralanteriorcingulate,OR6W1P,0.5239193418528472,No,model3,0.22813738974994544,0.11197173763584271,2.037455116503591,0.04329439708935768,*,0.4401091273857881,0.1011304237354462
ctx-lh-rostralanteriorcingulate,TMEM219,0.532193250672637,Yes,model3,0.22813738974994544,0.11197173763584271,2.037455116503591,0.04329439708935768,*,0.4401091273857881,0.1011304237354462
ctx-lh-rostralanteriorcingulate,ACTL10,0.4272499617573849,No,model3,0.22813738974994544,0.11197173763584271,2.037455116503591,0.04329439708935768,*,0.4401091273857881,0.1011304237354462
ctx-lh-rostralanteriorcingulate,RHOV,0.47517151045847494,No,model3,0.22813738974994544,0.11197173763584271,2.037455116503591,0.04329439708935768,*,0.4401091273857881,0.1011304237354462
ctx-lh-rostralanteriorcingulate,INO80E,0.4613869673744443,Yes,model3,0.22813738974994544,0.11197173763584271,2.037455116503591,0.04329439708935768,*,0.4401091273857881,0.1011304237354462
ctx-lh-rostralmiddlefrontal,ALDOA,0.561964341011657,Yes,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,SFN,0.4459987151698426,No,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,KIF22,0.5571115881046215,Yes,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,MAZ,0.533090734560308,Yes,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,PPP4C,0.43598579533635023,Yes,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,MAPK3,0.49352955414116195,Yes,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,MAP4K2,0.52110722044691,No,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,RPL12,0.5179181091447315,No,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,TAOK2,0.4347086771838492,Yes,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,CDIPT,0.6457630457437644,Yes,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,FTCD,0.5667571991523495,No,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,DNAH1,0.5793464986849375,No,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,LGALS14,0.4703647252559068,No,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,CARNS1,0.5400001751353745,No,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,PAGR1,0.4911597022641344,No,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,TRAF3IP3,0.4739727577168917,No,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,PMFBP1,0.506995031067433,No,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
ctx-lh-rostralmiddlefrontal,OR6W1P,0.47115747795627944,No,model3,-0.29002943,0.11196748609006586,-2.59030045,0.01049771256891249,*,-0.501996916,0.036731731
