"","gene_symbol","region","expression"
"165","MAPT","ctx-rh-pericalcarine",7.99408811508752
"166","MAPT","ctx-rh-caudalanteriorcingulate",8.38055164719465
"167","MAPT","ctx-rh-frontalpole",8.3744711756478
"168","MAPT","ctx-rh-parstriangularis",8.15793551991651
"169","MAPT","ctx-rh-postcentral",8.24912845164635
"170","MAPT","ctx-rh-rostralanteriorcingulate",8.41468947704322
"171","MAPT","ctx-lh-superiorfrontal",8.57056585713471
"172","MAPT","ctx-lh-rostralanteriorcingulate",8.54867125549951
"173","MAPT","ctx-lh-precentral",8.50631597100231
"174","MAPT","ctx-lh-cuneus",8.33442610822122
"175","MAPT","ctx-rh-posteriorcingulate",8.36080876748519
"176","MAPT","ctx-lh-parsopercularis",8.45957111479242
"177","MAPT","ctx-lh-insula",8.49993021806125
"178","MAPT","ctx-rh-transversetemporal",8.5513427299227
"179","MAPT","ctx-rh-superiorfrontal",8.28007179534582
"180","MAPT","ctx-rh-parsorbitalis",8.05701579403305
"181","MAPT","ctx-lh-transversetemporal",8.47230616074837
"182","MAPT","ctx-rh-cuneus",8.04055178533917
"183","MAPT","ctx-lh-inferiorparietal",8.56249751868131
"184","MAPT","ctx-lh-pericalcarine",8.45616784154028
"185","MAPT","ctx-lh-postcentral",8.55716662185315
"186","MAPT","ctx-lh-supramarginal",8.7290814851005
"187","MAPT","ctx-rh-fusiform",8.40106918856463
"188","MAPT","ctx-lh-rostralmiddlefrontal",8.40062617560162
"189","MAPT","ctx-rh-middletemporal",8.3030081631727
"190","MAPT","ctx-lh-frontalpole",8.24378356054548
"191","MAPT","ctx-lh-lingual",8.45261242323945
"192","MAPT","ctx-lh-lateralorbitofrontal",8.43747632344532
"193","MAPT","ctx-lh-bankssts",8.64666627711845
"194","MAPT","ctx-rh-inferiorparietal",8.30722100110797
"195","MAPT","ctx-lh-caudalanteriorcingulate",8.5030882120843
"196","MAPT","ctx-lh-lateraloccipital",8.46919980037389
"197","MAPT","ctx-lh-posteriorcingulate",8.49211984412042
"198","MAPT","ctx-rh-rostralmiddlefrontal",8.32402407015028
"199","MAPT","ctx-lh-parstriangularis",8.21584500307077
"200","MAPT","ctx-lh-middletemporal",8.6220491000945
"201","MAPT","ctx-rh-bankssts",8.96210781297451
"202","MAPT","ctx-lh-caudalmiddlefrontal",8.39296114452502
"203","MAPT","ctx-lh-temporalpole",8.47600250164196
